scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_mean_co2_mean,system_mean_co2_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,ppo_sumo_635768_2025-08-18_18-57-01_635768,52.059096459096466,0.17453267055447205,1.1715506715506716,0.04109394247237083,5.215140415140415,0.42913973145123036,0.09838755126231528,0.007730563897464107,7.254074924427355,0.021908354913791492,1419.0368281523547,25.027471172176078,0.0,0.0,1591.2,1.4757295747452732,1638.0,0.0,0.0,0.0
morning_peak,ppo_sumo_635768_2025-08-18_18-57-01_635768,56.00879120879121,1.9029259351044152,2.3225885225885223,1.8314600275607196,176.04297924297924,320.9010893487039,2.1120846248925784,3.572214048104271,7.147222885764077,0.16446686702376512,1414.2944902129661,30.40180331279892,0.0,0.0,1586.2,2.740640638812591,1637.6,0.9660917830793002,0.0,0.0
random_heavy,ppo_sumo_635768_2025-08-18_18-57-01_635768,96.54981684981685,1.4206577657612889,5.402564102564102,1.8491995345011627,1836.2031746031746,1929.398253514745,18.005016940774496,18.906964318360547,6.86999921617249,0.13100395547128707,1480.8545604809046,19.944281496487708,0.0,0.0,2621.6,13.549907748763431,2721.9,8.608135686662882,0.0,0.0
uniform,ppo_sumo_635768_2025-08-18_18-57-01_635768,42.865201465201466,0.10655205360887664,0.8178266178266178,0.03741217167901084,3.5140415140415144,0.43293174897853254,0.08253579012414872,0.009925072772823125,7.38197374880842,0.01601779064660563,1415.4414549484577,32.56392610302393,0.0,0.0,1315.9,2.0248456731316695,1365.0,0.0,0.0,0.0
