scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,ppo_sumo_143534_2025-08-17_21-54-21_143534,52.27985347985348,0.15918118403779158,1.3010989010989011,0.06734645462595172,6.777655677655678,4.605976455664434,0.1257395780197599,0.081531309565811,7.225342248369891,0.019490322061519808,0.0,0.0,1591.6,1.074967699773183,1638.0,0.0,0.0,0.0
morning_peak,ppo_sumo_143534_2025-08-17_21-54-21_143534,59.85409035409035,3.9530582958264913,6.466910866910867,4.059849611767517,3871.966422466422,3900.8071253312605,51.40159879050051,49.699117499542396,6.717031684697844,0.38872786916350044,0.0,0.0,1569.2,9.930872178324607,1636.7,1.494434118097294,0.0,0.0
random_heavy,ppo_sumo_143534_2025-08-17_21-54-21_143534,132.11208791208793,26.153207396085676,45.62173382173383,30.5855682097077,30827.328571428567,19956.192356009313,157.72623071069444,79.49794665939172,5.522978594485517,0.7069234903757755,3.7,3.8600518131237567,2402.9,183.55831649793362,2695.1,21.231266252078928,0.1,0.31622776601683794
uniform,ppo_sumo_143534_2025-08-17_21-54-21_143534,43.34297924297924,0.526526549518862,1.2692307692307692,0.5880842524743628,204.36581196581196,327.42908804364794,4.485635959923784,7.169865626049575,7.298712616448246,0.09919637736282931,0.0,0.0,1313.8,3.7947331922020706,1365.0,0.0,0.0,0.0
