scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_mean_co2_mean,system_mean_co2_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,Baseline_Actuated,541.0654456654456,45.52913939977849,526.2692307692307,48.63473144710826,704579.8428571428,77415.77090685985,955.9721789831443,35.52602525317076,0.6840060099536243,0.13049913544679215,1509.6058716019838,3.29775168954788,352.7,38.23915968393308,234.5,93.88083463152164,1285.3,38.239159683933096,0.0,0.0
morning_peak,Baseline_Actuated,570.3504273504274,32.7854542882236,555.4275946275945,35.00453706024443,743230.8299145299,57938.588507737935,957.0072798487912,26.11363343905535,0.6283823167920556,0.09173774534862618,1515.340629042279,4.5349696475820025,328.2,18.99005587728015,208.7,57.376049978288954,1309.8,18.99005587728015,0.0,0.0
random_heavy,Baseline_Actuated,895.4213675213675,35.41932193293723,879.1170940170939,37.47805678620143,1232152.278998779,73484.69765097051,1029.7432384148997,32.26856683871189,0.5213059956605738,0.08019892997183127,1516.8059644016578,3.9804669675792974,947.7,48.506700568065845,211.4,63.17207540607726,1782.3,48.506700568065874,0.0,0.0
uniform,Baseline_Actuated,454.77130647130645,25.34818385499085,441.89010989010984,26.531892782587576,581799.9395604396,43315.05641951916,935.4927448437893,25.817213252440695,0.7075064895027782,0.09809926016114198,1509.9454688336114,2.572921450992429,257.1,13.118688958886098,203.3,40.52996148255976,1107.9,13.118688958886084,0.0,0.0
