scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,ppo_sumo_13755_2025-08-17_05-02-15_13755,52.09304029304029,0.14273452629504224,1.1808302808302809,0.048963519143848507,5.157142857142857,0.437699012431556,0.0971521740714743,0.0078940215546968,7.250499546752286,0.015606906929708453,0.0,0.0,1591.8,1.6193277068654917,1638.0,0.0,0.0,0.0
morning_peak,ppo_sumo_13755_2025-08-17_05-02-15_13755,58.22295482295482,3.424692739339193,4.657264957264958,3.645840678270529,1574.4175824175825,2302.9230021595754,22.066392545287094,31.92099359118511,6.90266423843717,0.3513967673799247,0.0,0.0,1581.4,8.235424835563887,1636.7,1.766981104093162,0.0,0.0
random_heavy,ppo_sumo_13755_2025-08-17_05-02-15_13755,227.67960927960925,258.1694105653996,150.13492063492063,283.75281616635294,167800.99865689868,341924.0078402399,174.0133865646022,305.9255356110863,5.548012503495494,2.19142163960279,11.1,20.53425322614766,2161.2,840.776202221627,2586.1,273.7531126154856,0.0,0.0
uniform,ppo_sumo_13755_2025-08-17_05-02-15_13755,42.94517704517705,0.19277427231843733,0.8725274725274724,0.1049085689121945,8.801709401709402,11.150344950835484,0.19944909613694464,0.2498034079457832,7.371791633538528,0.03140606450004991,0.0,0.0,1315.4,2.366431913239885,1365.0,0.0,0.0,0.0
