scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,ppo_sumo_456_2025-08-18_01-08-35_456,52.43431013431014,0.1606379098966056,1.4137973137973137,0.06698947282427631,9.51074481074481,7.6243067418854125,0.175631488158734,0.13716795061396628,7.205937918019609,0.02068997779275008,0.0,0.0,1591.1,0.8755950357709176,1638.0,0.0,0.0,0.0
morning_peak,ppo_sumo_456_2025-08-18_01-08-35_456,59.766056166056174,4.233914932074451,6.254945054945055,4.543120519013541,3369.435653235653,3693.031631000477,44.780017357148054,47.59098736205372,6.733655383948668,0.4334062486335441,0.0,0.0,1572.4,13.251415018781968,1636.5,1.5811388300842015,0.0,0.0
random_heavy,ppo_sumo_456_2025-08-18_01-08-35_456,100.36190476190475,5.515961189580368,9.172039072039073,6.154119593094219,3590.827716727717,4618.496206590175,31.194630167746617,39.26317654920431,6.635887251087096,0.36598398294888773,0.0,0.0,2612.3,22.67671345969985,2721.3,9.900056116563713,0.0,0.0
uniform,ppo_sumo_456_2025-08-18_01-08-35_456,43.234310134310135,0.16379877892143416,1.0708180708180708,0.09919794794478319,11.046764346764347,10.86244899855633,0.2530053097193822,0.2507491935073264,7.322894908604175,0.028216995291489008,0.0,0.0,1314.9,2.0789954839350098,1365.0,0.0,0.0,0.0
