scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,Baseline_Actuated,555.9501831501832,12.569520036328676,541.5326007326007,13.27922865368064,726533.9554334555,23233.704133893643,960.6732741464335,14.962039975066213,0.6686858343659293,0.05165336266525217,359.3,20.483326552751794,203.9,27.850593450688898,1278.7,20.48332655275178,0.0,0.0
morning_peak,Baseline_Actuated,581.4330891330891,43.44382589440179,567.3648351648351,46.065931713484304,765071.4866910868,76532.0307500916,968.5492913200093,33.124734466528146,0.5992783044018272,0.11223720038736097,335.2,30.958036113422956,189.2,79.56381086901256,1302.8,30.958036113422988,0.0,0.0
random_heavy,Baseline_Actuated,890.3178266178268,35.950584703696016,873.8036630036629,38.60645454348433,1226353.186935287,79796.76883269209,1031.005661235496,36.001227492325356,0.529996858363204,0.08707077183248711,948.6,57.716163728677905,220.5,72.4419307675695,1781.4,57.71616372867792,0.0,0.0
uniform,Baseline_Actuated,473.7885225885226,21.828089421812333,461.8272283272283,23.2951800190824,614954.682051282,37928.46272169423,953.4788232736248,23.710897897894878,0.6413374322510279,0.07977686811841216,266.9,17.99660461803219,167.7,42.82016658849737,1098.1,17.996604618032165,0.0,0.0
