#{"t_start": 1755760418.3584943, "env_id": "None"}
r,l,t
0.0,820,51.344936
-273.0,820,51.344989
-4.0,820,51.345014
0.0,820,51.345033
-90.0,820,51.345049
0.0,820,51.345064
-463.0,820,51.345079
-127.0,820,51.345095
-2034.0,820,51.34511
-711.0,820,51.345126
-594.0,820,51.345141
-404.0,820,51.345156
-446.0,820,51.345172
0.0,820,51.345187
0.0,820,51.345201
-249.0,820,51.345217
0.0,820,98.676904
-294.0,820,98.67696
-3.0,820,98.676985
0.0,820,98.677003
-72.0,820,98.67702
0.0,820,98.677036
-626.0,820,98.677052
-88.0,820,98.677067
-1915.0,820,98.677083
-417.0,820,98.677098
-598.0,820,98.677114
-380.0,820,98.67713
-408.0,820,98.677145
0.0,820,98.677161
0.0,820,98.677176
-292.0,820,98.677191
0.0,820,151.015714
-340.0,820,151.017481
-6.0,820,151.017504
0.0,820,151.017517
-95.0,820,151.017528
0.0,820,151.017538
-389.0,820,151.017549
-130.0,820,151.017559
-2230.0,820,151.017569
-610.0,820,151.017579
-642.0,820,151.017589
-330.0,820,151.017599
-348.0,820,151.017609
0.0,820,151.017619
0.0,820,151.017628
-221.0,820,151.017637
0.0,820,198.779449
-279.0,820,198.779483
-3.0,820,198.779499
0.0,820,198.77951
-127.0,820,198.779521
0.0,820,198.779532
-468.0,820,198.779542
-121.0,820,198.779552
-1833.0,820,198.779562
-370.0,820,198.779572
-375.0,820,198.779581
-235.0,820,198.779591
-358.0,820,198.7796
0.0,820,198.779609
0.0,820,198.779618
-188.0,820,198.779627
0.0,820,250.818465
-273.0,820,250.818499
-3.0,820,250.818515
0.0,820,250.818528
-107.0,820,250.818541
0.0,820,250.818553
-477.0,820,250.818565
-118.0,820,250.818576
-1971.0,820,250.818587
-447.0,820,250.818599
-536.0,820,250.81861
-202.0,820,250.818621
-315.0,820,250.818633
0.0,820,250.818644
0.0,820,250.818655
-221.0,820,250.818666
0.0,820,297.963286
-232.0,820,297.96332
0.0,820,297.963336
0.0,820,297.963348
-114.0,820,297.963359
0.0,820,297.963369
-344.0,820,297.96338
-85.0,820,297.96339
-1384.0,820,297.963401
-266.0,820,297.963411
-355.0,820,297.96342
-209.0,820,297.96343
-407.0,820,297.963439
0.0,820,297.963449
0.0,820,297.963458
-181.0,820,297.963467
0.0,820,345.870058
-245.0,820,345.870089
0.0,820,345.870105
0.0,820,345.870117
-113.0,820,345.870127
0.0,820,345.870138
-333.0,820,345.870148
-89.0,820,345.870158
-1627.0,820,345.870168
-372.0,820,345.870178
-438.0,820,345.870188
-226.0,820,345.870197
-244.0,820,345.870206
0.0,820,345.870215
0.0,820,345.870224
-246.0,820,345.870233
0.0,820,397.423737
-220.0,820,397.423771
0.0,820,397.423786
0.0,820,397.423798
-120.0,820,397.423809
0.0,820,397.423819
-401.0,820,397.423829
-69.0,820,397.423839
-1233.0,820,397.423849
-375.0,820,397.423859
-436.0,820,397.423869
-218.0,820,397.423878
-235.0,820,397.423887
0.0,820,397.423897
0.0,820,397.423906
-159.0,820,397.423915
0.0,820,445.122854
-156.0,820,445.122888
0.0,820,445.122904
0.0,820,445.122915
-78.0,820,445.122926
0.0,820,445.122936
-258.0,820,445.122947
-52.0,820,445.122957
-1347.0,820,445.122967
-280.0,820,445.122977
-459.0,820,445.122986
-189.0,820,445.122996
-209.0,820,445.123005
0.0,820,445.123015
0.0,820,445.123024
-155.0,820,445.123033
0.0,820,496.71511
-219.0,820,496.715143
-1.0,820,496.715158
0.0,820,496.71517
-114.0,820,496.715181
0.0,820,496.715192
-213.0,820,496.715202
-76.0,820,496.715212
-1274.0,820,496.715222
-316.0,820,496.715232
-258.0,820,496.715241
-173.0,820,496.715251
-201.0,820,496.71526
0.0,820,496.71527
0.0,820,496.715279
-174.0,820,496.715288
0.0,820,543.85249
-158.0,820,543.852525
0.0,820,543.85254
0.0,820,543.852552
-126.0,820,543.852563
0.0,820,543.852573
-211.0,820,543.852583
-80.0,820,543.852593
-1136.0,820,543.852603
-259.0,820,543.852612
-290.0,820,543.852622
-211.0,820,543.852631
-161.0,820,543.85264
0.0,820,543.852649
0.0,820,543.852659
-161.0,820,543.852667
0.0,820,591.474267
-193.0,820,591.474301
0.0,820,591.474318
0.0,820,591.474331
-99.0,820,591.474343
0.0,820,591.474356
-236.0,820,591.474367
-101.0,820,591.474379
-1198.0,820,591.474391
-264.0,820,591.474402
-307.0,820,591.474414
-179.0,820,591.474466
-160.0,820,591.474483
0.0,820,591.474495
0.0,820,591.474506
-166.0,820,591.474517
0.0,820,642.646554
-142.0,820,642.646587
0.0,820,642.646602
0.0,820,642.646614
-117.0,820,642.646624
0.0,820,642.646636
-174.0,820,642.646646
-98.0,820,642.646656
-1109.0,820,642.646666
-217.0,820,642.646676
-232.0,820,642.646685
-167.0,820,642.646694
-182.0,820,642.646703
0.0,820,642.646713
0.0,820,642.646722
-124.0,820,642.646731
0.0,820,690.251892
-268.0,820,690.251926
0.0,820,690.251941
0.0,820,690.251953
-77.0,820,690.251964
0.0,820,690.251974
-208.0,820,690.251984
-78.0,820,690.251994
-756.0,820,690.252004
-193.0,820,690.252013
-205.0,820,690.252023
-196.0,820,690.252032
-137.0,820,690.252041
0.0,820,690.252051
0.0,820,690.25206
-158.0,820,690.252069
0.0,820,741.820525
-179.0,820,741.820559
0.0,820,741.820575
0.0,820,741.820586
-97.0,820,741.820596
0.0,820,741.820607
-170.0,820,741.820617
-44.0,820,741.820627
-884.0,820,741.820637
-219.0,820,741.820647
-197.0,820,741.820657
-124.0,820,741.820666
-136.0,820,741.820676
0.0,820,741.820685
0.0,820,741.820694
-169.0,820,741.820703
0.0,820,788.837086
-246.0,820,788.837119
0.0,820,788.837134
0.0,820,788.837145
-114.0,820,788.837156
0.0,820,788.837166
-160.0,820,788.837176
-78.0,820,788.837187
-668.0,820,788.837196
-161.0,820,788.837206
-182.0,820,788.837215
-162.0,820,788.837225
-142.0,820,788.837234
0.0,820,788.837243
0.0,820,788.837252
-107.0,820,788.837261
0.0,820,836.201417
-298.0,820,836.201449
0.0,820,836.201465
0.0,820,836.201477
-85.0,820,836.201488
0.0,820,836.201498
-177.0,820,836.201509
-56.0,820,836.201519
-712.0,820,836.201529
-163.0,820,836.201538
-176.0,820,836.201548
-129.0,820,836.201557
-127.0,820,836.201567
0.0,820,836.201576
0.0,820,836.201585
-115.0,820,836.201595
0.0,820,887.647097
-243.0,820,887.647129
0.0,820,887.647144
0.0,820,887.647156
-96.0,820,887.647167
0.0,820,887.647178
-193.0,820,887.647188
-57.0,820,887.647199
-707.0,820,887.647209
-142.0,820,887.647218
-148.0,820,887.647228
-148.0,820,887.647237
-128.0,820,887.647246
0.0,820,887.647256
0.0,820,887.647265
-135.0,820,887.647274
0.0,820,935.108339
-235.0,820,935.108375
0.0,820,935.10839
0.0,820,935.108401
-116.0,820,935.108411
0.0,820,935.108421
-133.0,820,935.108429
-70.0,820,935.108438
-607.0,820,935.108447
-152.0,820,935.108456
-159.0,820,935.108465
-144.0,820,935.108474
-114.0,820,935.108483
0.0,820,935.108491
0.0,820,935.1085
-105.0,820,935.108509
0.0,820,986.718238
-233.0,820,986.718272
0.0,820,986.718288
0.0,820,986.7183
-149.0,820,986.71831
0.0,820,986.718321
-133.0,820,986.718331
-71.0,820,986.718341
-719.0,820,986.718351
-128.0,820,986.718361
-163.0,820,986.718371
-139.0,820,986.71838
-125.0,820,986.71839
0.0,820,986.718399
0.0,820,986.718408
-106.0,820,986.718417
0.0,820,1033.802061
-131.0,820,1033.802094
-1.0,820,1033.802109
0.0,820,1033.802121
-121.0,820,1033.802132
0.0,820,1033.802142
-123.0,820,1033.802152
-41.0,820,1033.802162
-492.0,820,1033.802172
-166.0,820,1033.802182
-174.0,820,1033.802191
-129.0,820,1033.802201
-89.0,820,1033.80221
0.0,820,1033.802219
0.0,820,1033.802228
-104.0,820,1033.802237
0.0,820,1080.655183
-167.0,820,1080.655216
0.0,820,1080.655231
0.0,820,1080.655243
-108.0,820,1080.655254
0.0,820,1080.655265
-143.0,820,1080.655276
-49.0,820,1080.655286
-483.0,820,1080.655296
-178.0,820,1080.655306
-150.0,820,1080.655315
-164.0,820,1080.655325
-114.0,820,1080.655334
0.0,820,1080.655343
0.0,820,1080.655352
-118.0,820,1080.655361
0.0,820,1131.955842
-233.0,820,1131.955874
0.0,820,1131.95589
0.0,820,1131.955902
-140.0,820,1131.955913
0.0,820,1131.955923
-148.0,820,1131.955934
-41.0,820,1131.955944
-498.0,820,1131.955954
-155.0,820,1131.955963
-132.0,820,1131.955972
-146.0,820,1131.955982
-112.0,820,1131.955992
0.0,820,1131.956001
0.0,820,1131.95601
-104.0,820,1131.956019
0.0,820,1179.492486
-195.0,820,1179.492521
0.0,820,1179.492537
0.0,820,1179.492549
-131.0,820,1179.492559
0.0,820,1179.492611
-98.0,820,1179.492626
-67.0,820,1179.492637
-441.0,820,1179.492645
-135.0,820,1179.492654
-129.0,820,1179.492663
-110.0,820,1179.492672
-107.0,820,1179.492681
0.0,820,1179.492689
0.0,820,1179.492698
-103.0,820,1179.492707
0.0,820,1230.394263
-132.0,820,1230.394296
0.0,820,1230.394313
0.0,820,1230.394326
-95.0,820,1230.394338
0.0,820,1230.394351
-138.0,820,1230.394362
-68.0,820,1230.394374
-472.0,820,1230.394386
-119.0,820,1230.394397
-120.0,820,1230.394409
-138.0,820,1230.39442
-84.0,820,1230.394432
0.0,820,1230.394444
0.0,820,1230.394455
-113.0,820,1230.394465
0.0,820,1277.903453
-145.0,820,1277.903488
0.0,820,1277.903505
0.0,820,1277.903518
-147.0,820,1277.90353
0.0,820,1277.903543
-112.0,820,1277.903554
-64.0,820,1277.903566
-452.0,820,1277.903578
-124.0,820,1277.903589
-143.0,820,1277.9036
-141.0,820,1277.903612
-83.0,820,1277.903624
0.0,820,1277.903635
0.0,820,1277.903647
-62.0,820,1277.903658
0.0,820,1325.273514
-165.0,820,1325.273549
0.0,820,1325.273565
0.0,820,1325.273577
-129.0,820,1325.273588
0.0,820,1325.273599
-129.0,820,1325.273609
