scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,Baseline_FixedTime,63.64676434676435,0.15449303354219768,12.092918192918194,0.16458771378904347,241.8738705738706,5.081970030931314,3.7438134584906395,0.07128124802283599,5.904472778710199,0.01729808919473543,0.0,0.0,1582.2,1.751190071541839,1638.0,0.0,0.0,0.0
morning_peak,Baseline_FixedTime,69.0006105006105,0.20116301341841017,14.646398046398048,0.14287766533518906,295.75946275946274,4.386127311983135,4.243740645328357,0.05371094941092377,5.723359510134054,0.015576858957490163,0.0,0.0,1572.0,1.4907119849998371,1638.0,0.0,0.0,0.0
random_heavy,Baseline_FixedTime,121.0058608058608,0.38858364657657696,27.6,0.3145890420024708,546.7332112332113,8.751183062678646,4.445034830790602,0.05999136661515015,5.471318624512438,0.017920247036024493,0.2,0.42163702135578396,2602.1,4.094712037087195,2729.8,0.4216370213558161,0.0,0.0
uniform,Baseline_FixedTime,52.8968253968254,0.1597975548717559,10.338339438339437,0.11517385222401459,210.92136752136753,4.018933188430656,3.937709794006158,0.06579589791984336,5.9496113611165775,0.017443961513460785,0.0,0.0,1309.2,1.31656117720877,1365.0,0.0,0.0,0.0
