scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,Baseline_Actuated,553.5538461538462,36.12399892224702,539.5050061050061,38.07832057682555,725548.9865689866,60250.89580910351,964.0964534247283,23.25184475594874,0.6546796203265344,0.072827164248181,359.3,23.95852898470837,210.9,66.06974429427672,1278.7,23.95852898470838,0.0,0.0
morning_peak,Baseline_Actuated,581.0542124542125,34.80506488675718,566.907326007326,37.29565858840118,762751.4091575092,64579.248733238535,965.591555403179,34.57292672932202,0.5995143294387675,0.1138038489903886,335.4,27.085051227568318,187.3,63.243884201469534,1302.6,27.085051227568293,0.0,0.0
random_heavy,Baseline_Actuated,900.2199023199024,27.16578377588612,883.7952380952381,28.6582909277698,1239254.8506715507,55983.65277655433,1030.5204890112404,24.281596806978953,0.5257387472771725,0.06397622616200048,939.1,34.148206395065614,209.3,50.704043231284814,1790.9,34.14820639506561,0.0,0.0
uniform,Baseline_Actuated,455.6737484737485,27.30668357651077,442.8253968253968,29.042163121623947,582934.5819291819,49044.867847971196,935.2052689775501,30.216086298228753,0.7010569603715855,0.10211998011774809,259.4,22.21711052319811,196.4,48.46350287702192,1105.6,22.217110523198087,0.0,0.0
