scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,ppo_sumo_143534_2025-08-16_22-31-07_143534,52.2021978021978,0.1481640247858242,1.2534798534798535,0.054708485426245915,5.714896214896215,0.5345643963624981,0.10750598660131434,0.009794284038632476,7.233601842265804,0.01866092892281687,0.0,0.0,1592.2,1.7511900715418267,1638.0,0.0,0.0,0.0
morning_peak,ppo_sumo_143534_2025-08-16_22-31-07_143534,55.067521367521366,0.14911558471129924,1.342857142857143,0.03524632924158497,5.604395604395604,0.2890064008345073,0.10098333191374712,0.0050092272471588435,7.233950706758032,0.015429983383677407,0.0,0.0,1588.5,1.8408935028645246,1638.0,0.0,0.0,0.0
random_heavy,ppo_sumo_143534_2025-08-16_22-31-07_143534,98.9050061050061,7.847742688512115,7.657631257631257,9.048157747793029,3092.228083028083,7283.075629966209,22.02420484961923,49.64433602457374,6.778817427117682,0.43319684838136896,0.3,0.6749485577105528,2612.2,47.89757590711433,2726.0,8.576453553512408,0.0,0.0
uniform,ppo_sumo_143534_2025-08-16_22-31-07_143534,43.310744810744815,0.5480813975885683,1.1986568986568986,0.608340786741737,165.7034188034188,340.9050369054007,3.5800633964277524,7.353328036428439,7.306886281560952,0.09883577796215326,0.0,0.0,1314.6,3.339993346633397,1365.0,0.0,0.0,0.0
