scenario,method,system_total_running_mean,system_total_running_std,system_total_stopped_mean,system_total_stopped_std,system_total_waiting_time_mean,system_total_waiting_time_std,system_mean_waiting_time_mean,system_mean_waiting_time_std,system_mean_speed_mean,system_mean_speed_std,system_total_backlogged_mean,system_total_backlogged_std,system_total_arrived_mean,system_total_arrived_std,system_total_departed_mean,system_total_departed_std,system_total_teleported_mean,system_total_teleported_std
evening_peak,Baseline_Actuated,560.8747252747253,32.45557449480633,547.1568986568986,33.99646740417442,738988.8384615385,57810.93552023235,971.1341676202788,27.84860937413614,0.6334260919359493,0.07614261943546366,367.3,25.643062739592295,193.7,58.450453852434336,1270.7,25.64306273959228,0.0,0.0
morning_peak,Baseline_Actuated,570.8017094017093,44.05740938226493,556.5267399267399,46.63744517609696,744450.0526251526,79934.56936532885,955.7093019042604,39.085161681993576,0.6236887059003579,0.12370359270111317,331.1,32.49769222575658,205.6,79.50290001698751,1306.9,32.49769222575657,0.0,0.0
random_heavy,Baseline_Actuated,902.1057387057386,24.99298391672062,885.734188034188,27.402441184122587,1243205.5655677656,59967.14978651237,1032.1888906087859,32.2395055156748,0.518233493974628,0.08614479150302844,935.2,53.05929597053554,210.9,57.86276868591754,1794.8,53.05929597053552,0.0,0.0
uniform,Baseline_Actuated,463.98168498168496,14.749086684841958,451.26263736263735,15.77082884581272,594613.5383394384,28401.25363143952,937.0300248233546,23.08426724575758,0.6944348507598106,0.06513312006064018,255.9,22.18332707237577,186.0,30.062897029025294,1109.1,22.183327072375757,0.0,0.0
